ID #;dialog
100062;It'll fit you well enough. Go get the post.  Go!
100063;Oh, Marge is ill! Ate a funny whelk.
100064;Dad! Look! Harry's got a letter!
100065;Hey, give it back! It's mine!
100066;Yours? Who'd be writing to you?
100067;No more mail through this letterbox.
100068;Have a lovely day at the office, dear.
100069;Shoo! Go on!
100070;Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?
100071;Because there's no post on Sunday?
100072;Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-
100073;AHH! Make it stop! Please make it stop!
100074;Go away, ahh!
100075;What is it? Please tell me what's happening!
100076;Give me that! Give me that letter!
100077;Get off! Ahh!
100078;Ahh!
100079;They're my letters! Let go of me!
100080;That's it! We're going away! Far away! Where they can't find us!
100081;Daddy's gone mad, hasn't he?!
100082;Make a wish, Harry.
100083;Who's there? Ahh!
100084;Sorry 'bout that.
100085;I demand that you leave at once, sir! You are breaking and entering!
100086;Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!
100087;I-I-I'm not Harry.
100088;I-I am.
100089;Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh.
100090;Thank you!
100091;It's not every day that your young man turns eleven, now is it?
100092;Excuse me, who are you?
100093;Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts.
100094;Sorry, no.
100095;No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?
100096;Learned what?
100097;You're a wizard, Harry.
100098;I-I'm a what?
100099;A wizard. And a thumping good one at that, I'd wager. Once you train up a little.
100100;No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry.
100101;Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah.
100102;Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry.
100103;He'll not be going! We swore when we took him in, we’d put a stop to this rubbish!
100104;You knew? You knew all along and you never told me?
100105;Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you.
100106;Blown up? You told me my parents died in a car crash!
100107;A car crash? A car crash kill James and Lily Potter?
100108;We had to tell him something.
100109;It's an outrage! It's a scandal!
100110;He'll not be going!
100111;Oh, and I suppose a great Muggle like yourself's going to stop him, are you?
100112;Muggle?
100113;Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore.
100114;I will not pay for some crackpot old fool to teach him magic tricks!
100115;Never, insult Albus Dumbledore, in front of me.
100116;Ahh!
100117;Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic.
100118;Okay.
100119;Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?
100120;First year students will require: three sets of work robes, one wand.
100121;Essential bit of equipment, Harry.
100122;One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?
100123;Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon.
100124;But you like a dragon?
100125;Fast and misunderstood beasts, Harry. Fast and misunderstood.
100126;All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?
100127;If you know where to go.
100128;Ah, Hagrid! The usual, I presume?
100129;No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies.
100130;Bless my soul. It's Harry Potter.
100131;Welcome back, Mr. Potter, welcome back.
100132;Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last.
100133;Harry P-potter. C-can't tell you how pleased I am to meet you.
100134;Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.
100135;Oh, nice to meet you.
100136;F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh.
100137;Yes, well, must be going now. Lots to buy. Heh.
100138;Goodbye.
100139;See, Harry, you're famous!
100140;But why am I famous, Hagrid? All those people back there, how is it they know who I am?
100141;I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry.
100142;It's a world class racing broom. Look at it, it’s the new Nimbus 2000! It's the fastest model yet.
100143;But, Hagrid, how am I to pay for all this? I haven't any money.
100144;Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.
100145;Uh, Hagrid, what exactly are these things?
100146;They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.
100147;And does Mr. Harry Potter have his key?
100148;Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which.
100149;Very well.
100150;Vault 687. Lamp, please.  Key please.
100151;Didn't think your mum and dad would leave you with nothing now, did ya?
100152;Vault 713.
100153;What's in there, Hagrid?
100154;Can't tell you, Harry. It's Hogwarts business. Very secret.
100155;Stand back.
100156;Best not mention this to anyone, Harry.
100157;I still need...a wand.
100158;A wand? Well, you'll want Ollivanders.  No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long.
100159;Hello? Hello?
100160;I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious.
100161;Sorry, but what's curious?
100162;I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar.
100163;And...who owned that wand?
100164;Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great.
100165;Harry! Harry! Happy birthday!
100166;Wow.
100167;You all right, Harry? You seem very quiet.
100168;He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do.
100169;First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-...
100170;Maybe if you wrote it down?
100171;No, I can't spell it. All right.  Voldemort.
100172;Voldemort?
100173;Shh!!
100174;It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. ‘Cept you.
100175;Me? Voldemort tried to kill...me?
100176;Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that.
100177;What happened to...to You-Know-Who?
100178;Well, some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous. That's why everybody knows your name. You're the boy who lived.
100179;What're you looking at?  Blimey, is that the time? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his- well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket.  Stick to it, Harry that's very important. Stick to your ticket.
100180;Platform 9¾? But, Hagrid, there must be a mistake. This says Platform 9¾. There's no such thing...is there?
100181;Sorry.
100182;Excuse me, excuse me.
100183;Right on your left, ma'am.
100184;Excuse me, sir. Can you tell me where I might find Platform 9¾?
100185;9¾? Think you're being funny, do ya?
100186;It's the same year after year. Always packed with Muggles, of course.
100187;Muggles?
100188;Come on. Platform 9¾ this way! All right, Percy, you first.
100189;Fred, you next.
100190;He's not Fred, I am!
100191;Honestly, woman, you call yourself our mother.
100192;Oh, I'm sorry, George.
100193;I'm only joking. I am Fred.
100194;Excuse me! C-could you tell me how to-
100195;How to get on the platform? Yes, not to worry, dear. It's Ron's first time to Hogwarts as well.  Now, all you've got to do is walk straight at the wall between platforms 9 and 10. Best do it at a bit of a run if you're nervous.
100196;Good luck.
100197;Excuse me, do you mind? Everywhere else is full.
100198;No, not at all.
100199;I'm Ron, by the way. Ron Weasley.
100200;I'm Harry. Harry Potter.
100201;So-so it's true? I mean, do you really have the...the...
100202;The what?
100203;Scar...?
100204;Oh
100205;Wicked.
100206;Anything off the trolley, dears?
100207;No, thanks, I'm all set.
100208;We'll take the lot!
100209;Whoa!
100210;Bertie Bott's Every Flavour Beans?
100211;They mean every flavour! There's chocolate and peppermint, and there's also spinach, liver and tripe. George sweared he got a bogey-flavoured one once!
100212;These aren't real chocolate frogs, are they?
100213;It's just a spell. Besides, it's the cards you want. Each pack's got a famous witch or wizard. I got about 500 meself.  Watch it!  Oh, that's rotten luck. They've only got one good jump in them to begin with.
100214;I got Dumbledore!
100215;I got about 6 of him.
100216;Hey, he's gone!
100217;Well, you can't expect him to hang around all day, can you?  This is Scabbers, by the way, pathetic, isn't he?
100218;A little.
100219;Fred gave me a spell as to turn him yellow. Want to see?
100220;Yeah!
100221;Ahem. Sun-
100222;Has anyone seen a toad? A boy named Neville's lost one.
100223;No.
100224;Oh, are you doing magic? Let's see then.
100225;Sunshine, daises, butter mellow, turn this stupid fat rat yellow!
100226;Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...  Oculus Reparo.  That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?
100227;I'm...Ron Weasley.
100228;Pleasure. You two better change into your robes. I expect we'll be arriving soon.  You've got dirt, on your nose, by the way, did you know? Just there.
100229;Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!
100230;Hello, Harry.
100231;Hey, Hagrid.
100232;Whoaa!
100233;Right then. This way to the boats! Come on, now, follow me.
100234;Wicked.
100235;Welcome to Hogwarts. Now, in a few moments, you will pass through these doors and join your classmates. But before you can take your seats, you must be sorted into your houses. They are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin. Now while you’re here, your house will be like your family. Your triumphs will earn you house points. Any rule breaking, and you will lose points. At the end of the year, the house with the most points is awarded the house cup.
100236;Trevor!  Sorry.
100237;The sorting ceremony will begin momentarily.
100238;It's true then, what they're saying on the train. Harry Potter has come to Hogwarts.  This is Crabbe and Goyle. And I'm Malfoy...Draco Malfoy.  Think my name's funny, do you? No need to ask yours. Red hair, and a hand-me-down robe? You must be a Weasley. Well, soon find that some wizarding families are better than others, Potter. Don’t want to go making friends with the wrong sort. I can help you there.
100239;I think I can tell who the wrong sort are for myself, thanks.
100240;We're ready for you now. Follow me.
100241;It's not real, the ceiling. It's just bewitched to look like the night sky. I read about it in Hogwarts: A History.
100242;Will you wait along here, please? Now, before we begin, Professor Dumbledore would like to say a few words.
100243;I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.
100244;When I call your name, you will come forth, I shall place the sorting hat on your head, and you will be sorted into your houses. Hermione Granger.
100245;Oh, no. Okay, relax.
100246;Mental that one, I'm telling you.
100247;Ah, right then...hmm...right. Okay...Gryffindor!!
100248;Draco Malfoy.
100249;SLYTHERIN!
100250;There isn't a witch or wizard who went bad who wasn’t in Slytherin.
100251;Susan Bones.
100252;Ahh!
100253;Harry, what is it?
100254;Nothing... nothing, I'm fine.
100255;Let's see...I know...Hufflepuff!
100256;Ronald Weasley.
100257;Ha! Another Weasley. I know just what to do with you... Gryffindor!!
100258;Harry Potter.
100259;Hmm...difficult, very difficult. Plenty of courage I see, not a bad mind, either. There's talent, oh yes, and a thirst to prove yourself. But where to put you?
100260;Not Slytherin. Not Slytherin.
100261;Not Slytherin, eh? Are you sure? You could be great, you know. It’s all here in your head. And Slytherin will help you on the way to greatness! There's no doubt about that. No?
100262;Not Slytherin...anything but Slytherin.
100263;Well, if you're sure... better be... GRYFFINDOR!!
100264;We got Potter! We got Potter!
100265;We got Potter! We got Potter!
100266;Your attention, please.
100267;Let the feast...begin.
100268;Wow.
100269;I'm half and half. Me dad's a Muggle. Mam's a witch. Bit of a nasty shock for him when he found out.
100270;Say, Percy, who's that teacher talking to Professor Quirrell?
100271;Oh, that's Professor Snape, head of Slytherin house.
100272;What's he teach?
100273;Potions. But everyone knows it's the Dark Arts he fancies. He's been after Quirrell’s job for years.
100274;Ahh!
100275;Hello! How are you? Welcome to Gryffindor.
100276;Whoo-hoo-hoo!
100277;Look, it’s the Bloody Baron!
100278;Hello, Sir Nicholas. Have a nice summer?
100279;Dismal. Once again, my request to join the headless hunt has been denied.
100280;I know you! You're Nearly Headless Nick!
100281;I prefer Sir Nicholas if you don't mind.
100282;Nearly headless? How can you be nearly headless?
100283;Like this.
100284;Ahh!
100285;Gryffindors, follow me, please. Keep up. Thank you.
100286;Ravenclaws, follow me. This way.
100287;This is the most direct path to the dormitories. Oh, and keep an eye on the staircases...they like to change.
100288;Keep up, please, and follow me. Quickly now, come on. Come on.
100289;Seamus, that picture's moving!
100290;Look at that one, Harry!
100291;I think she fancies you.
100292;Oh, look! Look! Who's that girl?
100293;Welcome to Hogwarts.
100294;Who's that?
100295;Password?
100296;Caput Draconis.  Follow me, everyone. Keep up, quickly, come on.
100297;Oh, wow.
100298;Gather 'round here. Welcome to the Gryffindor Common Room. Boy's dormitories, upstairs and down to your left. Girls, the same on your right. You'll find that your belongings have already been brought up.
100299;Whew, we made it. Can you imagine the look on McGonagall's face if we were late?
100300;That was bloody brilliant.
100301;Thank you for that assessment, Mr. Weasley. Perhaps if I were to transfigure Mr. Potter and yourself into a pocketwatch, that way one of you might be on time.
100302;We got lost.
100303;Then perhaps a map? I trust you don't need one to find your seats.
100304;There will be no foolish wand waving or silly incantations in this class. As such, I don't expect many of you to appreciate the subtle science and exact art that is potion making. However, for those select few...  who possess the predisposition, I can teach you how to bewitch the mind and ensnare the senses. I can tell you how to bottle fame, brew glory and even put a stopper...  in death.  Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confidant enough to not...pay...attention.  Mr. Potter. Our...new...celebrity. Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?  You don't know? Well, let's try again. Where, Mr. Potter, would you look if I asked you to find me a bezoar?
100305;I don't know, sir.
100306;And what is the difference between monkshood and wolfbane?
100307;I don't know, sir.
100308;Pity. Clearly, fame isn't everything...  is it, Mr. Potter?
100309;Clearly, Hermione knows. Since it's a pity not to ask her.
100310;Silence.  And put her hand down, you silly girl.  For your information, Potter... asphodel and wormwood make a sleeping potion so powerful, it is known as the Draught of Living Death. A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons. As for monkshood and wolfsbane, they are the same plant, which also goes by the name of aconite.  Well?  Why aren't you all copying this down?  And Gryffindors, note that five points, will be taken from your house... for your classmate's cheek.
100311;Eye of rabbit, harp string hum. Turn this water, into rum.  Eye of rabbit, harp string hum...
100312;What's Seamus trying to do to that glass of water?
100313;Turn it into rum. Actually managed a weak tea yesterday, before-
100314;Ah. Mail's here!
100315;Can I borrow this?  Thanks.
100316;Hey, look! Neville's got a Remembrall!
100317;I've read about those. When the smoke turns red,  it means you've forgotten something.
100318;The only problem is, I can't remember what I've forgotten.
100319;Hey, Ron, somebody broke into Gringotts, listen.  Believed to be the work of dark witches or wizards unknown, Gringotts goblins, while acknowledging the breach, insist that nothing was taken. The vault in question, number 713, had in fact been emptied earlier that same day. That's odd. That's the vault Hagrid and I went to.
100320;Good afternoon, class.
100321;Good afternoon, Madam Hooch.
100322;Good afternoon, Amanda, good afternoon.  Welcome to your first flying lesson. Well, what are you waiting for? Everyone step up to the left side of their broomstick. Come on now, hurry up. Stick your right hand over the broom and say, up!
100323;Up!
100324;Wow.
100325;Up!
100326;With feeling!
100327;Up. Up. Up. Up.
100328;Up!!  Ooh!  Shut up, Harry.
100329;Now, once you've got hold of your broom, I want you to mount it. And grip it tight, you don't want to be sliding off the end.  When I blow my whistle, I want each of you to kick off from the ground, hard. Keep your broom steady, hover for a moment, and then lean forward slightly and touch back down. On my whistle...3...2...
100330;Oh...
100331;Mr. Longbottom.
100332;Neville, what are you doing?
100333;Neville...Neville...
100334;We're not supposed to take off, yet.
100335;M-M-Mr. Longbottom! Mr. Longbottom!
100336;AHH!
100337;Mr. Longbottom!
100338;Down! Down! Ahhhh!
100339;Neville!
100340;Help!!!
100341;Come back down this instant!
100342;AHH!
100343;Help!
100344;Mr. Longbottom-!
100345;Ahhhh! Whoa! Ahhh!  Oh. Ah...help!  Ahh!
100346;Everyone out of the way!  Come on, get up.
100347;Is he alright?
100348;Owowowow.
100349;Oh, oh, oh, oh dear. It's a broken wrist. Tch, tch, tch. Good boy, come on now, up you get.  Everyone's to keep their feet firmly on the ground while I take Mr. Longbottom to the hospital wing. Understand? If I see a single broom in the air, the one riding it will find themselves out of Hogwarts before they can say, Quidditch.
100350;Did you see his face? Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat arse.
100351;Give it here, Malfoy.
100352;No. I think I'll leave it somewhere for Longbottom to find.  How 'bout up on the roof?  What's the matter, Potter? Bit beyond your reach?
100353;Harry, no way! You heard what Madam Hooch said! Besides, you don't even know how to fly.  What an idiot.
100354;Give it here, Malfoy, or I'll knock you off your broom!
100355;Is that so?  Have it your way, then!
100356;Good job, Harry!
100357;Oh, that was wicked, Harry.
100358;Harry Potter?  Follow me.
100359;An iguana s-such as this is...
100360;You wait here.
100361;... an essential in-gredient.
100362;Professor Quirrell, excuse me, excuse me. Could I borrow Wood for a moment, please?
100363;Oh. Y-yes, of course.  And the vampire b-bat...
100364;Potter, this is Oliver Wood. Wood, I have found you a Seeker!
100365;Have you heard? Harry Potter's the new Gryffindor Seeker. I always knew he'd do well.
100366;Seeker? But first years never make their house teams! You must be the youngest Quidditch player in...
100367;A century, according to McGonagall.
100368;Hey, well done, Harry, Wood's just told us!
100369;Fred and George are on the team, too. Beaters.
100370;Our job is to make sure that you don't get bloodied up too bad. Can't make any promises, of course. Rough game, Quidditch.
100371;Brutal. But no one's died in years. Someone will vanish occasionally...
100372;But they'll turn up in a month or two!
100373;Oh, go on, Harry, Quidditch is great. Best game there is! And you'll be great, too!
100374;But I've never even played Quidditch. What if I make a fool of myself?
100375;You won't make a fool of yourself. It's in your blood.
100376;Whoa. Harry, you never told me your father was a Seeker, too.
100377;I-I didn't know.
100378;I'm telling you, it's spooky. She knows more about you than you do.
100379;Who doesn't?
100380;Ahh!
100381;What's happening?
100382;The staircases change, remember?
100383;Let's go this way.
100384;Before the staircase moves again.
100385;Does anyone feel like...we shouldn't be here?
100386;We're not supposed to be here. This is the 3rd floor. It's forbidden.
100387;Let's go.
100388;It's Filch's cat!
100389;Run!
100390;Quick! Let’s hide though that door!
100391;It's locked!
100392;That's it, we're done for!
100393;Oh, move over!  Alohomora.  Get in.
100394;Alohomora?
100395;Standard book of spells, Chapter 7.
100396;Anyone here, my sweet?  Come on.
100397;Filch is gone.
100398;Probably thinks this door's locked.
100399;It was locked.
100400;And for good reason.
100401;AHHHHHHH!
100402;What do they think they're doing?? Keeping a thing like that locked up in a school.
100403;You don't use your eyes, do you? Didn't you see what it was standing on?
100404;I wasn't looking at its feet! I was a bit preoccupied with its heads. Or maybe you didn't notice, there were three!
100405;It was standing on a trap door. Which means it wasn't there by accident. It's guarding something.
100406;Guarding something?
100407;That's right. Now, if you two don't mind, I'm going to bed before either of you come up with another clever idea to get us killed... or worse, expelled!
100408;She needs to sort out her priorities!
100409;Quidditch is easy enough to understand. Each time has seven players, 3 chasers, 2 beaters, 1 keeper and a seeker. That's you. There are three kinds of balls.  This one's called the Quaffle. Now, the chasers handle the Quaffle and try to put it through one of those three hoops.  The keeper, that's me, defends the hoops.  With me so far?
100410;I think so. What are those?
100411;You better take this.  Careful now, it's comin' back.  Eh, not bad, Potter, you'd make a fair beater... Uh-oh.
100412;What is that?
100413;Bludger. Nasty little buggers. But you are the seeker, and the only thing I want you to worry about is this... the Golden Snitch.
100414;I like this ball.
100415;Ah, you like it now. Just wait. It's wicked fast and damn near impossible to see.
100416;What do I do with it?
100417;You catch it... before the other team's seeker. You catch this, the game is over. You catch this, Potter, and we win.
100418;Whoa.
100419;One of a wizard's most rudimentary skills is levitation the ability to make objects fly. Uh, do you all have your feathers?  Good. Now, uh, don't forget the nice wrist movement we've been practicing, hmm? The swish and flick. Everyone.
100420;The swish and flick.
100421;Good. And enunciate. Wingardium Leviosa. Off you go then.
100422;Wingardium Levio-saaa.
100423;Wingardrium Leviosar!
100424;Stop, stop, stop. You're going to take someone's eye out. Besides, you're saying it wrong. It's Levi-o-sa, not Leviosar.
100425;You do it then if you're so clever. Go on, go on.
100426;Wingardium Leviosa.
100427;Oh, well done! See here, everyone! Ms. Granger's done it! Oh, splendid!
100428;Wingard Levosa.
100429;Well done, dear.
100430;Whooaaa! Ooh.
100431;I think we're going to need another feather over here, Professor.
100432;It's Levioooosa, not Leviosaaaar.  She's a nightmare, honestly. No wonder she hasn't got any friends!
100433;I think she heard you.
100434;Where's Hermione?
100435;Parvati Patil said that she wouldn't come out of the girl's bathroom. She said that she'd been in there all afternoon...crying.
100436;TROLL! IN THE DUNGEON! T-TROOLLL IN THE DUNGEON!!  Thought you ought to know.
100437;SILLLLLEEENNNNCEEEEE!  Everyone will please, not panic. Now, Prefects will lead their houses back to the dormitories. Teachers will follow me to the dungeons.
100438;Hufflepuff, this way!
100439;Stay together!
100440;Gryffindors, keep up please. And stay alert!
100441;How could a troll get in?
100442;Not by itself. Trolls are really stupid. Probably people playing jokes.  What?
100443;Hermione! She doesn't know!
100444;I think the troll's left the dungeon!
100445;It’s going into the Girl's Bathroom!
100446;Hermione, move!
100447;Help! Help!
100448;Hey, pea brain!
100449;Ahhh! Help!
100450;Whooa! Whoa, whoa!
100451;Ew.
100452;Whoa, whoa whoa!
100453;Do something!
100454;What?
100455;Anything! Hurry up!
100456;Swish and flick!
100457;Wingardium Leviosa!  Cool.
100458;Is it...dead?
100459;I don't think so. Just knocked out.  Ew. Troll bogies.
100460;Oh! Oh, my goodness! E-Explain yourselves, both of you!
100461;Well, what it is...
100462;Well, what it is...
100463;It's my fault, Professor McGonagall.
100464;Miss Granger?
100465;I went looking for the troll. I'd read about them and thought I could handle it. But I was wrong. If Harry and Ron hadn't come and found me...I'd probably be dead.
100466;Be that as it may be...it was an extremely foolish thing to do.  I would have expected more rational behavior on your part, Miss Granger. Five points will be taken from Gryffindor for your serious lack of judgment.  As for you two gentlemen I just hope you realize how fortunate you are. Not many students could take on a fully grown mountain troll and live to tell the tale. Five points...will be awarded to each of you.  For sheer dumb luck.
100467;Perhaps you ought to go...M-might wake up...heh.  Ahh! Hehe....
100468;Good for you to get us out of trouble like that.
100469;Mind you, I mean, we did save her life.
100470;Mind you, she didn't need saving if you hadn't insulted her.
100471;What are friends for?
100472;Take a bit of toast, mate, go on.
100473;Ron's right, Harry. You're gonna need your strength today.
100474;I'm not hungry.
100475;Good luck today, Potter. Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin.
100476;That explains the blood.
100477;Blood?
100478;Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog. But, he got himself bitten, that's why he's limping.
100479;But why would anyone go near that dog?
100480;The day I was at Gringotts, Hagrid took something out of one of the vaults. He said it was Hogwarts' business, very secret.
100481;So you're saying...
100482;That's what the dog's guarding. That's what Snape wants.
100483;Bit early for mail, isn't it?
100484;But I-I never get mail.
100485;Let's open it.
100486;It's a broomstick!
100487;Thats not just any broomstick, Harry.  It's a Nimbus 2000!
100488;But who...?
100489;Scared, Harry?
100490;A little.
100491;That's all right. I felt the same way before my first game.
100492;What happened?
100493;Er, I don't really remember. I took a bludger to the head 2 minutes in. Woke up in the hospital a week later.
100494;Hello, and welcome to Hogwarts' first Quidditch game of the season! Today's game Slytherin versus Gryffindor!!!
100495;Gryffindor!
100496;The players take their positions as Madam Hooch steps out onto the field to begin the game.
100497;Now, I want a nice clean game...from all of you.
100498;The bludgers are up...followed by the Golden Snitch. Remember, the snitch is worth 150 points. The seeker who catches the Snitch ends the game.
100499;The Quaffle is released...and the game begins!
100500;Angelina Johnson scores! 10 points for Gryffindor!
100501;Yes!  Whoa!
100502;Well done!
100503;Slytherin takes possession of the Quaffle. Bletchley passes to Captain Marcus Flint.
100504;Yay!
100505;Yay!
100506;Yes!
100507;Another 10 points to Gryffindor!
100508;Yay!
100509;Give me that!
100510;Take that side!
100511;Whoa! Whooa!
100512;What's going on with Harry's broomstick?
100513;It's Snape! He's jinxing the broom!
100514;Jinxing the broom? What do we do?
100515;Leave it to me.
